,N02+NO3 (mg/L as N),Phosphorous Total as P (mg/L),Nitrogen Kjeldahl Total (mg/L),Zinc Total (ug/L),TSS (mg/L),Copper Total (ug/L),Lead Total After 1984 (ug/L),Cadmium Total (ug/L),BOD5 as O2 (mg/L),Station_Name,year,date,NAME10
0,0.26,0.28,1.1,200,,15,7,<0.25,4,Midway_industrial_park_MW,1992,1992-07-31,"Baltimore, MD"
1,0.47,1.29,2.8,172,330,25,12,0.6,14,Midway_industrial_park_MW,1992,1992-08-28,"Baltimore, MD"
2,0.39,0.82,0.6,130,160,18,10,0.6,5,Midway_industrial_park_MW,1992,1992-09-25,"Baltimore, MD"
3,1.1,1.34,1.7,130,18,9,<2.5,<0.25,8,Odenton_OD,1992,1992-08-11,"Baltimore, MD"
4,0.67,0.3,<0.5,88,16,7,<2.5,1.1,7,Odenton_OD,1992,1992-09-10,"Baltimore, MD"
5,0.61,0.31,1.7,255,74,21,13,0.9,11,Odenton_OD,1992,1992-10-09,"Baltimore, MD"
6,0.79,1.75,0.6,250,16,20,32,1,12,Parole_Plaza_PP,1992,1992-08-11,"Baltimore, MD"
7,0.7,0.29,<0.5,99,22,14,13,1.2,13,Parole_Plaza_PP,1992,1992-09-10,"Baltimore, MD"
8,<0.1,0.24,0.6,147,50,21,16,0.8,10,Parole_Plaza_PP,1992,1992-10-09,"Baltimore, MD"
9,<0.1,0.24,1.17,112.7,50.4,15.07,30,10,10.11,Parole_Plaza_PP,1999,1999-01-21,"Baltimore, MD"
10,0.09,0.22,2.66,84.93,18.05,10.84,<5,5,16.18,Parole_Plaza_PP,1999,1999-02-28,"Baltimore, MD"
11,0.08,0.83,0.84,93.54,44.86,11.96,<5,5,3.68,Parole_Plaza_PP,1999,1999-03-21,"Baltimore, MD"
12,0.14,0.14,0.67,121.8,28.17,13.14,<5,5,8.88,Parole_Plaza_PP,1999,1999-04-21,"Baltimore, MD"
13,0.44,0.5,6.96,235.72,33.22,48.71,<5,5,34.79,Parole_Plaza_PP,1999,1999-06-13,"Baltimore, MD"
14,0.25,0.11,0.97,67.86,17.18,7.3,<5,0.34,8.91,Parole_Plaza_PP,1999,1999-06-17,"Baltimore, MD"
15,0.25,0.3,3.92,183.33,50.95,27.85,<5,5,18.77,Parole_Plaza_PP,1999,1999-07-12,"Baltimore, MD"
16,0.05,0.2,0.36,87.99,36.25,8.4,<5,0.16,10.05,Parole_Plaza_PP,1999,1999-10-04,"Baltimore, MD"
17,0.14,0.18,1.26,111.8,23.14,14.48,<5,5,20.8,Parole_Plaza_PP,1999,1999-10-17,"Baltimore, MD"
18,0.05,0.21,0.52,170.13,64.35,17.14,<5,5,17.2,Parole_Plaza_PP,1999,1999-11-02,"Baltimore, MD"
19,0.07,0.12,1.16,110.6,47.48,10.35,<5,5,4.5,Parole_Plaza_PP,1999,1999-12-10,"Baltimore, MD"
20,0.7,0.24,0.83,131.43,134.15,16.99,<5,5,5.98,Parole_Plaza_PP,2000,2000-01-04,"Baltimore, MD"
21,2.61,0.84,8.68,237.78,101.72,36.53,33.95,5,33.7,Parole_Plaza_PP,2000,2000-03-11,"Baltimore, MD"
22,0.38,0.17,2.32,139.98,96.84,14.03,18.29,0.48,11.99,Parole_Plaza_PP,2000,2000-03-16,"Baltimore, MD"
23,0.2,0.12,1.1,59.52,10.98,6.08,5.88,0.24,10.05,Parole_Plaza_PP,2000,2000-03-20,"Baltimore, MD"
24,1.07,0.27,1.59,177.57,83.25,25,26.47,5,18.31,Parole_Plaza_PP,2000,2000-05-10,"Baltimore, MD"
25,3.31,0.21,2.81,159.09,29.68,21.19,9.9,0.39,23.29,Parole_Plaza_PP,2000,2000-06-13,"Baltimore, MD"
26,0.32,0.12,1.45,145.37,22.9,8.18,6.26,0.3,28.26,Parole_Plaza_PP,2000,2000-07-03,"Baltimore, MD"
27,1.22,0.07,1.11,104.51,13.68,6.83,9.55,0.62,13.41,Parole_Plaza_PP,2000,2000-07-19,"Baltimore, MD"
28,1.16,0.15,1.95,220.16,24.1,13.49,9.48,0.39,13.29,Parole_Plaza_PP,2000,2000-08-18,"Baltimore, MD"
29,2.92,0.17,2.68,182.78,29.08,14.38,11.22,0.49,20.41,Parole_Plaza_PP,2000,2000-10-06,"Baltimore, MD"
30,0.68,0.38,4.1,332.77,40.28,26.61,14.3,0.61,41.85,Parole_Plaza_PP,2000,2000-11-09,"Baltimore, MD"
31,0.32,0.17,1.53,155.53,18.95,13.38,5.18,0.34,27.44,Parole_Plaza_PP,2000,2000-11-14,"Baltimore, MD"
32,0.77,0.15,1.11,106.85,41.7,11.97,7.12,5,4.14,Parole_Plaza_PP,2001,2001-03-12,"Baltimore, MD"
33,0.71,0.18,0.74,90.37,62.29,7.36,9.53,0.25,5.27,Parole_Plaza_PP,2001,2001-03-20,"Baltimore, MD"
34,0.59,0.1,1.28,64.25,52,9.29,6.27,0.49,3.55,Parole_Plaza_PP,2001,2001-03-29,"Baltimore, MD"
35,2.73,0.4,4.43,285.78,55.1,29.21,12.76,0.97,34.36,Parole_Plaza_PP,2001,2001-05-19,"Baltimore, MD"
36,0.5,0.1,1.01,99.94,42.92,9.34,11.4,0.75,18.21,Parole_Plaza_PP,2001,2001-06-01,"Baltimore, MD"
37,1.01,0.09,0.82,198.67,22.81,14.5,10.29,0.48,7.97,Parole_Plaza_PP,2001,2001-07-26,"Baltimore, MD"
38,1.55,0.17,3.23,257.81,196.47,24.88,21.31,0.42,6.18,Parole_Plaza_PP,2001,2001-08-10,"Baltimore, MD"
