,Temperature_C,pH,Cadmium Total (ug/L),Oil and Grease Total (mg/L),Arsenic Total (ug/L),Fecal Coliform (colonies/100 mL),Lead Total After 1984 (ug/L),Chromium Total (ug/L),Fecal Streptococcus (colonies/100 mL),Phosphorous Filtered as P (mg/L),N02+NO3 (mg/L as N),Nitrogen Kjeldahl Total (mg/L),Zinc Total (ug/L),COD as O2 (mg/L),Copper Total (ug/L),Phosphorous Total as P (mg/L),TSS (mg/L),TDS_mg/L,BOD5 as O2 (mg/L),Station_Name,year,date,NAME10
0,21.0,8.0,<1,<1,2,36000,65,13,25000,0.08,0.95,1.8,110,130,9,0.2,62,70,8.3,The_Parks_mall_AC603,1992,1992-10-28,"Dallas--Fort Worth--Arlington, TX"
1,17.0,7.9,<1,<1,<1,16000,16,<1,16000,0.01,0.39,0.4,40,23,2,0.06,3,62,4,The_Parks_mall_AC603,1992,1992-11-19,"Dallas--Fort Worth--Arlington, TX"
2,8.5,7.6,<1,6,1,8700,30,<1,82000,0.04,0.38,0.6,50,41,4,0.09,40,37,5.4,The_Parks_mall_AC603,1992,1992-12-09,"Dallas--Fort Worth--Arlington, TX"
3,12.0,7.5,<1,2,2,500,34,8,1700,0.03,0.34,0.6,50,39,4,0.07,15,74,,The_Parks_mall_AC603,1993,1993-01-28,"Dallas--Fort Worth--Arlington, TX"
4,12.0,6.9,<1,<1,<1,280,19,7,330000,0.04,0.9,0.8,40,33,4,0.05,10,44,4.9,The_Parks_mall_AC603,1993,1993-02-24,"Dallas--Fort Worth--Arlington, TX"
5,13.0,7.4,<1,1,1,360,12,4,5400,0.04,0.54,0.8,30,41,3,0.05,16,87,3.8,The_Parks_mall_AC603,1993,1993-03-11,"Dallas--Fort Worth--Arlington, TX"
6,20.5,7.5,<1,5,<0.5,90000,9,2,1100000,0.043,0.562,0.78,40,36,4,0.059,8,55,7.3,The_Parks_mall_AC603,1997,1997-05-09,"Dallas--Fort Worth--Arlington, TX"
7,21.0,7.4,<1,9,1,41000,14,4,100000,0.091,0.926,1.8,70,150,7,0.134,50,83,9,The_Parks_mall_AC603,1997,1997-05-15,"Dallas--Fort Worth--Arlington, TX"
8,23.5,7.5,<1,2,<0.5,30000,12,3,36000,0.06,0.797,1.3,50,57,6,0.096,17,47,8.2,The_Parks_mall_AC603,1997,1997-05-30,"Dallas--Fort Worth--Arlington, TX"
9,13.5,7.0,<1,4,<0.5,17000,20,4,31000,0.029,0.5,0.72,60,38,8,0.061,18,23,7.8,The_Parks_mall_AC603,1997,1997-12-02,"Dallas--Fort Worth--Arlington, TX"
10,9.0,7.3,<1,12,2,1300,35,7,14000,0.023,0.395,0.66,60,<10,5,0.056,53,33,2.5,The_Parks_mall_AC603,1998,1998-01-11,"Dallas--Fort Worth--Arlington, TX"
11,18.4,7.4,<1,2,1,2100,32,7,360000,0.07,0.527,1.5,80,48,7,0.195,56,46,12,The_Parks_mall_AC603,1998,1998-03-30,"Dallas--Fort Worth--Arlington, TX"
12,24.0,7.4,<1,6,<0.5,390000,27,6,72000,0.09,0.904,1.1,50,36,6,0.17,14,95,7.4,The_Parks_mall_AC603,1998,1998-09-11,"Dallas--Fort Worth--Arlington, TX"
13,16.5,7.0,<1,5,2,300,61,13,7200,0.034,0.258,0.87,110,56,24,0.213,92,24,4.4,The_Parks_mall_AC603,1999,1999-03-08,"Dallas--Fort Worth--Arlington, TX"
14,20.5,7.6,<2,128,5,21000,16,6,170000,0.17,1.13,2.59,100,79.2,12,0.37,58,120,8.3,The_Parks_mall_AC603,2000,2000-04-01,"Dallas--Fort Worth--Arlington, TX"
