,Phosphorous Total as P (mg/L),N02+NO3 (mg/L as N),Nitrogen Kjeldahl Total (mg/L),TSS (mg/L),BOD5 as O2 (mg/L),Lead Total After 1984 (ug/L),Copper Total (ug/L),Cadmium Total (ug/L),Zinc Total (ug/L),Station_Name,year,date,NAME10
0,0.05,4.51,0.9,7,2.8,<2,4,<1,507,Candice_Estates_CE,1993,1993-12-10,"Washington, DC--VA--MD"
1,0.15,0.85,<0.5,172,4.8,9,11,<1,261,Candice_Estates_CE,1994,1994-03-21,"Washington, DC--VA--MD"
2,0.16,0.31,0.7,122,6.2,8,7.3,<0.25,150,Candice_Estates_CE,1994,1994-11-21,"Washington, DC--VA--MD"
3,0.02,0.13,1.23,26.06,29.84,18.35,8.17,3.17,35.55,DPWT_Colesville_Road_Maintenance_Depot,1996,1996-08-13,"Washington, DC--VA--MD"
4,0.02,0.13,1.54,57.55,20.12,23.67,10.61,4.25,67.62,DPWT_Colesville_Road_Maintenance_Depot,1996,1996-09-04,"Washington, DC--VA--MD"
5,0.02,0.05,1,76.71,19.76,18.05,5.34,2.99,69.38,DPWT_Colesville_Road_Maintenance_Depot,1996,1996-10-08,"Washington, DC--VA--MD"
6,0.02,0.05,2.31,417.39,21.77,1.15,13.22,1.72,160.63,DPWT_Colesville_Road_Maintenance_Depot,1996,1996-11-08,"Washington, DC--VA--MD"
7,0.45,0.02,1.33,135.94,32.28,17.23,33.41,<3,73.94,DPWT_Colesville_Road_Maintenance_Depot,1996,1996-12-06,"Washington, DC--VA--MD"
8,0.25,1.25,0.96,126.35,48.09,601.59,15.35,<3,137.64,DPWT_Colesville_Road_Maintenance_Depot,1997,1997-01-22,"Washington, DC--VA--MD"
9,0.24,1.23,0.84,120.88,20.39,107.85,11.56,<3,90.02,DPWT_Colesville_Road_Maintenance_Depot,1997,1997-02-04,"Washington, DC--VA--MD"
10,0.28,1.52,1.98,95.73,27.1,33.37,11.87,<3,88.49,DPWT_Colesville_Road_Maintenance_Depot,1997,1997-03-18,"Washington, DC--VA--MD"
11,0.09,0.7,2.81,49.82,34.96,23.08,8.35,<3,150.7,DPWT_Colesville_Road_Maintenance_Depot,1997,1997-04-21,"Washington, DC--VA--MD"
12,0.27,0.55,1.16,78.8,24.36,34.53,4.53,<3,417.17,DPWT_Colesville_Road_Maintenance_Depot,1997,1997-06-21,"Washington, DC--VA--MD"
13,0.05,0.1,1.36,43.43,11,2.43,10.49,<1,43.14,DPWT_Colesville_Road_Maintenance_Depot,1998,1998-06-12,"Washington, DC--VA--MD"
14,0.05,0.33,0.91,10.41,4.2,<1,<2,<3,28.04,DPWT_Colesville_Road_Maintenance_Depot,1998,1998-10-08,"Washington, DC--VA--MD"
15,0.04,1.48,0.55,85.36,22.05,<5,<2,<3,5.77,DPWT_Colesville_Road_Maintenance_Depot,1999,1999-01-13,"Washington, DC--VA--MD"
16,0.07,0.71,0.7,111.74,17.09,2.15,1.97,<3,43.08,DPWT_Colesville_Road_Maintenance_Depot,1999,1999-02-02,"Washington, DC--VA--MD"
17,0.13,0.57,0.38,215.77,31.12,16.17,12.64,<3,98.96,DPWT_Colesville_Road_Maintenance_Depot,1999,1999-02-19,"Washington, DC--VA--MD"
18,0.39,1.04,0.61,107.37,8.62,88.52,4.46,7.37,34.66,DPWT_Colesville_Road_Maintenance_Depot,1999,1999-04-01,"Washington, DC--VA--MD"
19,0.92,1.43,<1,133.95,26.51,15.66,21.75,5.68,43.15,DPWT_Colesville_Road_Maintenance_Depot,1999,1999-05-23,"Washington, DC--VA--MD"
20,<0.06,0.9,1,22.54,1.42,5.66,19.78,2.16,121.99,DPWT_Colesville_Road_Maintenance_Depot,1999,1999-08-25,"Washington, DC--VA--MD"
21,<0.06,0.07,0.81,42.98,5.64,4.72,15.41,4.87,222.31,DPWT_Colesville_Road_Maintenance_Depot,1999,1999-09-15,"Washington, DC--VA--MD"
22,<0.06,0.04,1,3.35,4.55,1.8,13.74,2.85,31.33,DPWT_Colesville_Road_Maintenance_Depot,1999,1999-10-17,"Washington, DC--VA--MD"
23,0.06,0.16,0.79,<5,1.44,35.49,10.6,3.28,82.15,DPWT_Colesville_Road_Maintenance_Depot,1999,1999-11-02,"Washington, DC--VA--MD"
24,0.1,0.28,2.01,22.27,15.2,<5,12.83,<0.5,68.92,DPWT_Colesville_Road_Maintenance_Depot,2000,2000-01-10,"Washington, DC--VA--MD"
25,0.14,0.43,0.91,46.38,4.34,<2,3.72,<0.5,72.19,DPWT_Colesville_Road_Maintenance_Depot,2000,2000-02-18,"Washington, DC--VA--MD"
26,0.04,0.65,1.15,44.84,2.31,<2,6.26,<0.5,46.29,DPWT_Colesville_Road_Maintenance_Depot,2000,2000-03-11,"Washington, DC--VA--MD"
27,0.05,0.14,<0.5,12.98,<1,3.75,7.94,<0.5,33.96,DPWT_Colesville_Road_Maintenance_Depot,2000,2000-04-25,"Washington, DC--VA--MD"
28,0.12,0.16,2.27,8.06,2.63,<2,<2,<0.5,37.3,DPWT_Colesville_Road_Maintenance_Depot,2000,2000-06-06,"Washington, DC--VA--MD"
29,0.06,<0.2,0.36,27.29,7.16,24.85,2.56,<0.5,30,DPWT_Colesville_Road_Maintenance_Depot,2000,2000-06-22,"Washington, DC--VA--MD"
30,0.23,0.48,0.7,163,2.68,5.43,2.42,<0.5,44.8,DPWT_Colesville_Road_Maintenance_Depot,2000,2000-07-10,"Washington, DC--VA--MD"
31,0.15,0.27,<0.5,22.91,1.53,4.87,5.59,3.77,27.28,DPWT_Colesville_Road_Maintenance_Depot,2000,2000-09-25,"Washington, DC--VA--MD"
32,0.14580272,0.32971429,0.7,41.88231254,6.42925169,2,4.575510142,0.5,48.63265213,DPWT_Colesville_Road_Maintenance_Depot,2001,2001-01-19,"Washington, DC--VA--MD"
33,0.13142771,0.207392982,0.571928132,37.52586503,6.085132009,2,4.661642343,0.5,33.23284686,DPWT_Colesville_Road_Maintenance_Depot,2001,2001-03-12,"Washington, DC--VA--MD"
34,0.15,0.79,1.31,58.1,10.04,10.2,28.35,0.29,,Stewart_April_Lane,2002,2002-05-03,"Washington, DC--VA--MD"
35,0.23,0.59,1.55,247.91,27.83,16.27,39.04,0.19,,Stewart_April_Lane,2002,2002-06-28,"Washington, DC--VA--MD"
