,difference in pollutants,increase to sample tolerance
0,"['Arsenic Total (ug/L)', 'Cadmium Filtered (ug/L)', 'Nickel Filtered (ug/L)']",160
1,"['Iron, Total as Fe (ug/L)']",170
2,"['COD as O2 (mg/L)', 'Arsenic Filtered (ug/L)']",180
3,"['Antimony  Total (ug/L)', 'Barium, total as Ba (ug/L)', 'Selenium  Total (ug/L)', 'Selenium  Filtered (ug/L)', 'Beryllium Total (ug/L)', 'Iron, Filtered as Fe (ug/L)', 'Antimony  Filtered (ug/L)', 'Thallium Total (ug/L)', 'pH', 'Silver Total (ug/L)', 'Thallium Filtered (ug/L)', 'Nitrogen Kjeldahl Total (mg/L)', 'Silver Filtered (ug/L)']",190
4,"['Nitrogen_Nitrite (mg/L as N)', 'Mercury Total (ug/L)', 'Nitrogen_Nitrate (mg/L as N) ', 'Ammonia (mg/L)', 'Mercury Filtered (ug/L)']",200
5,"['TSS (mg/L)', 'Turbidity_NTU']",210
6,"['Total_Organic_Carbon_as_Carbon  (mg/L)', 'Phosphorous Total as P (mg/L)']",220
7,"['TDS_mg/L', 'Alkalinity, total as CaCO3 (mg/L)', 'Conductivity (uS/cm @25ºC)']",230
8,"['Chloride (mg/L)', 'Phosphorous Filtered as P (mg/L)']",240
9,[],250
10,[],260
11,['Beryllium Filtered (ug/L)'],270
12,[],280
13,[],290
14,[],300
15,['BOD5 as O2 (mg/L)'],310
16,[],320
17,[],330
18,[],340
19,[],350
20,[],360
21,[],370
22,[],380
23,[],390
24,[],400
25,[],410
26,[],420
27,[],430
28,[],440
29,[],450
30,[],460
31,[],470
32,[],480
33,[],490
34,[],500
35,[],510
36,[],520
37,[],530
38,[],540
39,['Fecal Coliform (colonies/100 mL)'],550
40,"['Acrylonitrile (ug/L)', 'Chloroform (ug/L)', 'Toluene (ug/L)', 'Trichlorofluoromethane (ug/L)', 'Total Coliform (colonies/100 mL)', 'Acrolein (ug/L)', '2-Chloroethylvinylether (ug/L)', '1,2-Dichloroethane (ug/L)', 'Chlorobenzene (ug/L)', '1,2-Dichloropropane (ug/L)', '1,1-Dichloroethane (ug/L)', 'Carbon Tetrachloride (ug/L)', 'Fecal Streptococcus (colonies/100 mL)', 'Methylbromide (ug/L)', 'trans-1,3-Dichloropropene (ug/L)', 'Benzene (ug/L)', 'Oil and Grease Total (mg/L)', 'Ethylbenzene (ug/L)', 'Methylchloride (ug/L)', '1,1,2,2-Tetrachloroethane (ug/L)', 'Chloroethane (ug/L)', 'Bromoform (ug/L)', '1,1,2-Trichloroethane (ug/L)', 'Methylenechloride (ug/L)', '1,1,1-Trichloroethane (ug/L)', 'Chlorodibromomethane (ug/L)', 'Vinylchloride (ug/L)']",560
41,[],570
42,"['Total_Petroleum_hydrocarbon (mg/L)', 'Cyanide Total (ug/L)']",580
43,[],590
44,[],600
